,Title,Link,Market size,Forecasted Market Size,CAGR (%),Companies,Geographies/Region,Segments,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Sub-segment 5,Sub-segment 6,Sub-segment 7,Sub-segment 8,Sub-segment 9,Sub-segment 10,Sub-segment 11,Sub-segment 12,Sub-segment 13,Sub-segment 14,Sub-segment 15,Sub-segment 16,Sub-segment 17,Sub-segment 18,Sub-segment 19,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14
448,"Smart Grid Market by Software (AMI, Grid Distribution, Grid Network, Grid Asset, Grid Security, Substation Automation, and Billing & CIS), Hardware (Smart Meter), Service (Consulting, Integration, and Support), and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/smart-grid-market-208777577.html,USD 23.8 billion,USD 61.3 billion,20.9%,"It includes 26 major vendors, namely, General Electric (US), ABB (Switzerland), Siemens (Germany), Schneider Electric (France), Itron (US), Landis+Gyr (Switzerland), Aclara (US), Cisco (US), OSI (US), IBM (US), Wipro (India), Honeywell (US), Oracle (US), S&C Electric Company (US), Eaton (Ireland), Kamstrup (Denmark), Trilliant Holdings (US), Globema (Poland), Tech Mahindra (India), Enel X North America (US), eSmart Systems (Norway), Tanatalus (US), EsyaSoft (India), Grid4C (US), and C3 Energy (US) ","North America, Europe, APAC, MEA, and Latin America","Software, Hardware, Service, and Region","Advanced Metering Infrastructure
, Smart Grid Distribution Management
, Smart Grid Network Management
, Grid Asset Management
, Substation Automation
, Smart Grid Security
, Billing and Customer Information System ",Smart Meter ,"Consulting
, Deployment and Integration
, Support and Maintenance ","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
Japan
India
South Korea
Rest of APAC , 
Kingdom of Saudi Arabia (KSA)
Qatar
United Arab Emirates (UAE)
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,"Load Balancer Market by Component (Hardware, Software, and Services), Load Balancer Type (Global Load Balancer and Local Load Balancer), Deployment Type, (On-Premises and Cloud), Organization Size, Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/load-balancer-market-236964606.html,USD 2.6 billion,USD 5.0 billion,13.7%,"AWS (US), F5 Networks (US), Citrix Systems (US), Microsoft (US), HPE (US), IBM (US), Google (US), Imperva (US), NGINX (US), Radware (Israel), Fortinet (US), A10 Networks (US), Kemp Technologies (US), Riverbed Technologies (US), Fastly (US), Dialogic (US), Avi Networks (US), Joyent (US), Inlab Software (Germany), Cloudflare, Inc. (US), Zevenet (Spain), Array Networks (US), Avanu (US), Barracuda Networks (US), and loadbalancer.org (UK)","North America, APAC, Europe, and RoW ","Components (Software, Services), Applications, Deployment Modes, Organization Size, Industry Verticals and Regions","Hardware
, Software
, Services","Training and Consulting
, Integration and Deployment
, Support and Maintenance ","Global Load Balancer
, Local Load Balancer ","SMEs
, Large Enterprises ","BFSI
, IT and Telecom
, Government and Public Sector
, Healthcare and Lifesciences
, Manufacturing
, Retail
, Energy
, Media and Entertainment
, Others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
France
Germany
Other European Countries , 
China
Japan
ANZ
Other APAC Countries , 
KSA
South Africa
UAE
Other MEA Countries , 
Brazil
Mexico
Other Latin American Countries ",NA,NA,NA,NA,NA,NA,NA,NA
450,"Digital Banking Platforms Market by Banking Type (Retail Banking and Corporate Banking), Banking Mode (Online Banking and Mobile Banking), Deployment Type (On-Premises and Cloud), and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/digital-banking-platforms-market-90744083.html,USD 3.3 billion,USD 5.7 billion,11.2%,"Appway (Switzerland), Backbase (Netherlands), CREALOGIX (Switzerland), ebanklT (England), EdgeVerve (India), Intellect Design Arena (India), Finastra (UK), ieDigital (England), ETRONIKA (Lithuania), Fidor (Germany), Fiserv (US), Halcom (Slovenia), NETinfo (Cyprus), Kony (US), NF Innova (Austria), Oracle (US), SAB (France), SAP (Germany), Sopra (France), Tagit (Singapore), TCS (India), Technisys (US), Temenos (Switzerland), BNY Mellon (US), and Worldline (France) ","North America, Europe, APAC, MEA, and Latin America","Banking Type, Banking Mode, Deployment Type, and Region ","Retail Banking
, Corporate Banking ","Online Banking
, Mobile Banking ","On-premises
, Cloud ","North America
, Europe
, APAC
, MEA
, Latin America ",NA,"Further breakdown of the North American digital banking platforms market into countries
, Further breakdown of the European market into countries
, Further breakdown of the APAC market into countries
, Further breakdown of the MEA market into countries
, Further breakdown of the Latin American market into countries ",Detailed analysis and profiles of additional market players (up to 5) ,NA,NA,NA,NA,"Backbase partnered with SGBL Group, one of the leading banks in the Middle East. As a part of this partnership, Backbase supported SGBL Group in revamping its legacy systems while also creating frictionless customer experience to meet the Group’s goal of digital transformation strategy.
, EdgeVerve Systems, a subsidiary of Infosys, launched Finacle Digital Engagement Suite, an advanced omnichannel solution suite that helps banks onboard, sell, service, and engage customers with tailored experiences.
, Finastra expanded its presence in the Middle East with a new office in Riyadh, Saudi Arabia. This expansion helps the company support technological and financial innovations in line with Vision 2030, the Kingdom’s transformation plan.
, TCS signed an agreement with Transamerica, one of the leading providers of life insurance, retirement, and investment solutions. As per this agreement, TCS helps Transamerica in undergoing a digital transformation of its US insurance and annuity business lines. ","How will the drivers, challenges, and future opportunities for the digital banking platforms market affect its dynamics and the subsequent market analysis of the associated trends?
, What are the key sustainability strategies adopted by leading players operating in the market?
, Which of the talent and technology gaps of organizations can affect business operations?
, What is the level of preparedness of enterprises to deal with unforeseen business risks?
, Where and to what extent organizations need to implement digital banking platforms? ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,"Voice Cloning Market by Component (Solutions (Software Tools & Platforms) and Services), Application (Chatbots & Assistants, Accessibility, Digital Games, Interactive learning), Deployment Mode, Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/voice-cloning-market-129784608.html,USD 456 million,"USD 1,739 million",30.7%,"Google (US), Microsoft (US), IBM (US), AWS (US), AT&T (US), Baidu (China), Nuance Communications (US), iSpeech (US), NeoSpeech (US), CereProc (Scotland), Cepstral (US), Lyrebird (Canada), Kata.ai (Indonesia), alt Inc. (Japan), Aristech GmbH (Germany), Acapela Group (Belgium), VocaliD (US), Voicery (US), Voctro Labs (Spain), exClone (US), CandyVoice (France), LumenVox (US), rSpeak (Netherlands), Smartbox Assistive Technology (UK), and VivoText (Israel) ","North America, Europe, APAC, MEA, and Latin America","Applications, components, deployment modes, verticals, and regions","Solutions
, Services
","Chatbots and assistants
, Accessibility
, Digital games
, Interactive games
, Others (announcement systems, text readers, and talking avatars) ","Cloud
, On-premises ","Healthcare and life sciences
, Education
, Media and entertainment
, Telecom
, Travel and hospitality
, Banking, Financial Services, and Insurance (BFSI)
, Others (energy and utilities, and government and defense) ","North America
, Europe
, Asia Pacific (APAC)
, Middle East and Africa (MEA)
, Latin America ","What are the current trends in voice cloning market that are driving the demand for technological advancements?
, What are the upcoming technologies that are driving the voice cloning market?
, Where will all these developments take the industry in the mid to long term?
, Which are the vendors in the voice cloning market and competitive analysis?
, What are the drivers and challenges of voice cloning market? ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Software tools
Platforms , 
Professional services
Managed services ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,"Composable Infrastructure Market by Type (Software and Hardware), Vertical (BFSI, Healthcare, IT and Telecom, Government, Manufacturing), and Region (North America, Europe, Asia Pacific, and RoW) - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/composable-infrastructure-market-68141063.html,USD 616 million,"USD 5,102 million",52.6%,"HGST (US), HPE (US), Dell EMC (US), Lenovo (China), DriveScale (US), TidalScale (US), Liqid (US), OSS (US), Cloudistics (US), and QCT (Taiwan)Total 10 major players covered. ","North America, APAC, Europe, and RoW ","Type, Vertical, and Region ","Software
, Hardware ","BFSI
, IT and Telecom
, Government
, Healthcare
, Manufacturing
, Others*
, *Others include Retail, Energy and Utility, and Media and Entertainment ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,"Customer Information System Market by Component (Solutions and Services), Application (Water and Wastewater Management, Electricity and Power Management, and Utility Gas Management), Deployment Type, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/customer-information-system-market-183489801.html,USD 877 million,"USD 1,539 million",11.9%,"Oracle (US), SAP (Germany), Itineris (Belgium), and Hansen (Australia). A total of 25 players covered.","Americas, APAC, Europe, and Middle East and Africa ","Component (Solutions and Services), Application, Deployment Type, and Region","Solutions
, Services ","Legacy extension consulting service
, Customer Information System implementation service
, Support service ","Water and wastewater management
, Electricity and power management
, Utility gas management ","Cloud
, On-premises ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,"TV Analytics Market by TV Transmission Type (Cable TV, Satellite TV/ DTH, IPTV, and Over the Top (OTT)), Application (Customer Lifetime Management, Content Development, Competitive Intelligence, and Campaign Management) - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/tv-analytics-market-99504651.html,USD 1.9 billion,USD 4.2 billion,17.4%,"IBM Corporation (US), Google (US), The Nielsen Company (UK), Zapr Media Labs (India), Alphonso Inc. (US), TVSQUARED (Scotland), DC Analytics (England), Amobee, Inc. (US), 605 (US), Clarivoy (US), TVbeat (UK), BLIX (Australia), H-Tech (Bulgaria), DC Analytics (Germany), SambaTV (US), AnalyticOwl (US), Edgeware AB (US), Realytics (France), Sorenson Media (US), FourthWall Media (US), Parrot Analytics (US), iSpot.tv (US), Admo.TV (France), Conviva (US), iQ Media (US), and BrightLine (US). ","North America, APAC, Europe, Latin America, and MEA ","Type, Component, Deployment Model, Applications, and Region ","Cable TV
, Satellite TV/DTH
, IPTV
, OTT ","Software
, Services
","Competitive intelligence
, Churn prevention and behavior analysis
, Customer lifetime management
, Campaign management
, Content development
, Audience forecasting
, Others (brand effectiveness and customized pricing) ","On-premises
, Cloud ","North America
, Europe
, APAC
, Latin America
, MEA
",Product matrix gives a detailed comparison of the product portfolio of each company ,Detailed analysis and profiling of additional market players up to 5 ,NA,NA,NA,NA,"Define, describe, and forecast the TV analytics market based on TV transmission types, components, deployment modes applications, and regions.
, Detailed analysis of market’s subsegments with respect to individual growth trends, prospects, and contributors to the total market 
, Revenue forecast of the market’s segments with respect to 5 major regions, namely, North America, Europe, APAC, MEA, and Latin America
, Detailed analysis of the competitive developments, such as mergers and acquisitions, new product developments, and business expansion activities, in the market ",NA,NA,NA,NA,NA,NA,NA,NA,"
Managed services
Professional services

Consulting
Support and maintenance ",NA,NA,"
US
Canada , 
UK
Germany
Rest of Europe , 
China
India
Singapore
Australia and New Zealand (ANZ)
Rest of APAC , 
Brazil
Argentina
Rest of Latin America , 
Middle East
Africa ",NA,NA,NA,NA,NA,NA,NA,NA,NA
455,"Production Monitoring Market by Component (Solutions and Services), Solution, Service (Professional and Managed), Organization Size, Industry (Process Manufacturing and Discrete Manufacturing), and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/production-monitoring-market-176717688.html,USD 4.0 billion,USD 6.4 billion,9.8%,"Capgemini (France), Infosys (India), Oracle (US), Hitachi (Japan), Siemens (Germany), IQMS (US), Softweb Solutions (US). A total of 25 players covered.","North America, APAC, Europe, Middle East and Africa, and Latin America ","Solution, Service (Professional and Managed), Application Area, Organization Size, Deployment, Industry (Process and Discrete Manufacturing), and Region","Solutions
, Services ","Asset Management
, Data Management
, Smart Surveillance and Security
, Mobile Workforce Management ","Professional Services
, Managed Services ","Integration and Deployment
, Consulting
, Support and Maintenance
, Education and Training ","Infrastructure Management
, Security Management ","Business Process Optimization
, Logistics and Supply Chain Management
, Automation and Control Management
, Emergency and Incident Management ","On-premises
, Cloud ","Small and Medium-sized Enterprises
, Large Enterprises ","Process Manufacturing
, Discrete Manufacturing ","Oil and Gas
, Chemical
, Pharmaceutical and Life Sciences
, Energy and Power
, Water and Wastewater Management
, Food and Beverage ","Automotive
, Aerospace and Defense
, Medical Devices
, Electronics and Semiconductors ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,"Intelligent Process Automation Market by Component (Solutions and Services), Technology (NLP, Machine & Deep Learning), Application (IT Operations, Business Process Automation, and Application Management), Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/intelligent-process-automation-market-23417145.html,USD 7.50 billion,USD 13.75 billion,12.9%,"Accenture (Republic of Ireland), IBM (US), Cognizant (US), Genpact (US), Atos (France), Infosys (India), Tata Consultancy Services (India), Capgemini (France), Xerox Corporation (US), Pegasystems (US), Wipro (India), EXL Service (US), Thoughtonomy (UK), CGI Group (Canada), UiPath(Romania), HCL Technologies (India), Happiest Minds (India), Symphony Ventures (India), Avasant (US), Avanade (US), Virtual Operations (UK), Sutherland Global Services (US), KPMG (Netherlands), Tech Mahindra (India), Blue Prism (UK), and Syntel (US) ","North America, Europe, Asia Pacific, RoW ","By Component (Solutions, Services), By Application (IT Operations, Business Process Automation, Application Management, Content Management, Security, Others), By Technology (NLP, Machine and Deep Learning, Neural Network, Virtual Agents, Autonomous, Computer Vision), By Vertical (BFSI, Telecommunication and IT, Transport and Logistics, Media and Entertainment, Retails and e-commerce, Manufacturing, Healthcare and Life Sciences, Others) ","Natural Language Processing
, Machine and Deep Learning
, Neural Networks
, Virtual Agents
, Mini bots and RPA
, Computer Vision
, Others (Video Analytics, Biometrics, Expert Systems, Sensor Processing, and Inference Engines) ","Solutions
, Services
, Managed Services ","IT Operations
, Business Process Automation
, Application Management
, Content Management
, Security
, Others (Human Resource Management, Incident Resolution, and Service Orchestration) ","Banking, Financial Services, and Insurance (BFSI)
, Telecommunications and IT
, Transport and Logistics
, Media and Entertainment
, Retail and e-commerce
, Manufacturing
, Healthcare and Life Sciences
, Others (Travel and Hospitality, Education, Government and Public Sector, and Utilities) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Software Tools
Platforms , 
Professional Services
Advisory/Consulting
Design and Implementation
Training
Support and Maintenance ",NA,NA,"
US
Canada , 
UK          
Germany               
France  
Rest of Europe     , 
Australia and New Zealand             
China    
Japan    
Singapore             
Rest of Asia Pacific             , 
Israel
UAE
Mexico
Others ",NA,NA,NA,NA,NA,NA,NA,NA,NA
457,"Work Order Management Systems Market by Solution, Service (Managed and Professional (Integration & Implementation, Consulting, Support & Maintenance)), Deployment Type, Organization Size, Industry Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/work-order-management-systems-market-81654263.html,USD 358.2 million,USD 694.6 million,10.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,"IIoT Platform Market by Platform Type (Device Management, Application Management, Connectivity Management), Application Area (Predictive Maintenance, Business Process Optimization, Asset Tracking), Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/industrial-iot-platform-market-11186318.html,USD 6.0 billion,USD 13.7 billion,14.8%,"Software AG (Germany), PTC Inc. (US), Hitachi, Ltd. (Japan), IBM Corporation (US), Microsoft Corporation (US), Cisco Systems, Inc. (US), Intel Corporation (US), SAP SE (Germany), Siemens AG (Germany), Accenture PLC (US), Atos SE (France), Amazon Web Services (US), Oracle Corporation (US), Bosch.IO (US), Schneider Electric SE (France), Davra Networks Ltd. (US), Eurotech (Italy), Altizon (US), QiO Technologies (UK), Litmus Automation (US), ROOTCLOUD (China), Flutura (US), Augury (US), FogHorn (US), and Samsara (US)","North America, Europe, APAC, MEA, and Latin America","Offering, Application Area, Vertical, and Regions.","Platforms
, Services
","Asset Managament
, Supply Chain and Management
, Business Process Optimization
, Workforce Management
, Automation Control
, Emergency and Incident Management ","Process Industry
, Energy and Utilities
, Chemical and Materials
, Food and Beverages
, Others(Pharmaceutical, Mining and Metals, and Pulp and Paper)
, Discrete Industry
, Automotive
, Machine Manufacturing
, Semiconductor and Electronics
, Medical Devices
, Logistics and Transportation ","In Fenruary 2021, , In January 2021, , In Decmber 2020, , In June 2020, , In May 2019, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Device Management Platform
Application Enablement Platform
Connectivity Management Platform , 
Consulting Services
System Integration and Deployment
Support and Maintenance ",NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe, 
China
India
Rest of APAC , 
Saudi Arabia
Israel
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,"Intelligent Apps Market by Type (Consumer Apps, Enterprise Apps), Provider (Infrastructure, Data Collection & Preparation), Store Type (Google Play, Apple App Store), Deployment Mode, Service, Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/intelligent-apps-market-232018847.html,USD 7.33 billion,USD 46.98 billion,32.9%,"IBM (US), Google (US), AWS (US), Microsoft (US), Salesforce (US), Oracle(US), Apple (US), Baidu (China), SAP SE (Germany), ServiceNow (US), Facebook (US), Intel (US), HPE (US), Avaamo (US), H2O.ai (US), BigML (US), Sentient Technologies (US), Clarifai (US), CloudMinds (US), Ayasdi (US), Narrative Science (US), AIBrain (US), Dation (US), Arkenea Technologies (US), iCarbonX (US), and Fuzzy.ai (US)","North America, APAC, Europe, MEA, and Latin America","Type, Provider, Store Type, Deployment Mode, Service, Vertical and Regions","Consumer Apps
, Enterprise Apps ","Infrastructure
, Data Collection and Preparation
, Machine Intelligence ","Professional Services
, Managed Services ","Google Play
, Apple App Store
, Others (Amazon app store, SlideME, Baidu app store, Samsung galaxy store, and others) ","Cloud
, On-Premises ","BFSI
, Telecom
, Retail and eCommerce
, Healthcare and Lifer Sciences
, Education
, Media and Entertainment
, Travel and Hospitality
, Others (Energy and Utilities, Transportation and Logistics, and Manufacturing) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,"Enterprise Performance Management Market by Application (Enterprise Planning &Budgeting, Financial Consolidation, Financial Reporting & Compliance), Business Function, Component, Deployment Mode, Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/enterprise-performance-management-market-114295566.html,USD 7.28 billion,USD 11.72 billion,10.0%,"SAP (Germany), IBM (US), Oracle (US), Workiva (US), Adaptive Insights (US), Anaplan(US), Host Analytics (US), Infor (US), Longview (Canada), CCH Tagetik (Italy), Prevero (Germany), Prophix (Canada), Vena (Canada), Kaufman Hall (US), Deloitte (US), BOARD (Switzerland), Corporater (Norway), HCL (India), SAS Institute (US), MicroStrategy (US), Capgemini (France), CA Technologies (US), The Hackett Group (US), Emtec (US), and KPMG (UK).","North America, Europe, Asia Pacific (APAC), Middle East and Africa (MEA), and Latin America","Applications, Business Functions, Components,deployment mode, Enterprise Size, Regions, Verticals","Enterprise Planning and Budgeting
, Financial Consolidation
, Financial Reporting and Compliance
, Supply Chain Performance Management
, Predictive Analytics
, Others (workforce planning, cost and profitability management, and risk strategy management) ","Finance
, Human Resource (HR)
, Supply Chain
, Sales and Marketing
, Others (IT, operations, and support and maintenance) ","Solutions
, Services
","Cloud
, On-premises ","Small and Medium-sized Enterprises (SMEs)
, Large Enterprises ","Banking, Financial Services, and Insurance (BFSI)
, Retail and eCommerce
, IT and Telecommunications
, Manufacturing
, Healthcare and Life Sciences
, Others (food and beverage, government, energy and utilities, construction, automotive, legal, logistics, travel and hospitality, agriculture, education, and non-profit organizations) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Professional Services
Managed Services ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,"Cloud Workflow Market by Type (Platform and Services), Business Workflow (HR, Accounting & Finance, Sales & Marketing, Customer Service & Support, Operations), Organization Size, Vertical, and Region -Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/cloud-workflow-market-207093879.html,USD 1.25 billion,USD 3.85 billion,17.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,"Security Assurance Market by Application (Business Applications, System & Network Infrastructure, and Mobility Solutions), Organization Size, Industry Verticals (BFSI, Telecommunications, Government, Healthcare), and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/security-assurance-market-170362118.html,USD 3.53 billion,USD 5.48 billion,9.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,"Risk-based Authentication Market by Component, Technology Type (MFA, Behavioral Biometrics, Web Access Management), Application Area (Fraud Prevention, IoT Security), Deployment Mode, Industry Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/risk-based-authentication-market-167648842.html,USD 1.93 billion,USD 5.41 billion,19.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,"Content Marketing Software Market by Component (Software and Services), Content Type (Social Media, Blogs, Videos, Infographics), Organization Size (SMEs and Large Enterprises), Industry Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/content-marketing-software-market-264192105.html,USD 3.42 billion,USD 9.59 billion,18.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,"Cloud POS Market by Component, Organization Size, Application Area (Retail and Consumer Goods, Travel and Hospitality, Transportation and Logistics, Media and Entertainment, and Healthcare), and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/cloud-pos-market-56647551.html,USD 3.73 billion,USD 1.34 billion,22.7%,"Square Inc (US), Cegid (France), UTC RETAIL (US), Shop Keep (US), PAR Technology (US), Shopify (Canada), B2B Soft (US), Intuit (US), Lightspeed (Canada), Oracle (US), SalonTarget (US), RetailOps (US), Celerant Technology (US), TouchSuite (US), Clover (US), Revel Systems (US), ERPLY (US), Omnico Group (UK), Diaspark (US), Teamwork Retail (US), Jesta I.S. (Canada), One Step Retail Solutions (US), Phorest (Ireland), Poster POS (Poland), and iiko(Russia)","North America, Europe, MEA, APAC, and Latin America","Component, Service, Organization Size, Application Area, and Region","Solution
, Services ","Training, Consulting, and Integration
, Support and Maintenance ","SMEs
, Large Enterprises ","Retail and Consumer Goods
, Travel and Hospitality
, Media and Entertainment
, Transport and Logistics
, Healthcare ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
France
Germany
Other European Countries , 
China
Japan
India
Other APAC Countries , 
KSA
South Africa
Other MEA Countries , 
Brazil
Mexico
Other Latin American Countries ",NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"Account-Based Marketing Market by Account Type (Strategic Account-Based Marketing, Account-Based Marketing Lite, Programmatic Account-Based Marketing), Component, Deployment Model, Organization Size, Industry Vertical, and Region Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/account-based-marketing-market-224465009.html,USD 534.8 million,"USD 1,196.9 million",12.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,"Service Analytics Market by Business Application (Customer Service Analytics, Field Service Analytics, and IT Service Analytics), Component (Solution and Services), Deployment Model, Organization Size, Industry, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/service-analytics-market-21442175.html,USD 437.0 million,"USD 1,056.1 million",14.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,"Digital Evidence Management Market by Component (Hardware, Software (Evidence Collection, Storage, and Sharing, Evidence Security, and Evidence Analytics and Visualization), and Services), Deployment Type, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/digital-evidence-management-market-137502457.html,USD 3.61 billion,USD 7.56 billion,11.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,"Cybersecurity Market by Solution (IAM, Encryption, UTM, Antivirus/Antimalware, Firewall, IDS/IPS, Disaster Recovery, and DDOS Mitigation), Service, Security Type, Deployment Mode, Organization Size, Industry Vertical, and Region - Global Forecast to 2023",https://www.marketsandmarkets.com/Market-Reports/cyber-security-market-505.html,USD 152.71 billion,USD 248.6 billion,10.2%,"25 major vendors, namely, include AWS (US), Check Point Software Technologies (Israel), Cisco Systems (US), Cyberark (US), F5 Networks (US), Fireeye (US), Forcepoint (US), Fortinet(US), F-Secure (Finland), IBM Corporation (US), Imperva (US), Juniper Networks (US), McAfee(US), Micro Focus (UK), Microsoft (US), Oracle (US), Palo Alto Networks (US), Proofpoint (US), Qualys (US), Rapid7 (US), RSA Security (US), Sophos (UK), Splunk (US), Symantec (US), and Trend Micro (Japan) ","North America, Europe, Asia Pacific (APAC), Middle East and Africa (MEA), and Latin America","Component, Solution, Service, Security Type, Deployment, Organization Size, Vertical, and Region ","Solution
, Service ","Threat Intelligence
, Identity and Access Management
, Security and Vulnerability Management
, Risk and Compliance Manangement
, Others (Others include threat intelligence platforms, SIEM, and incident forensics)
, Encryption
, Data Loss Prevention
, Network DLP
, Storage/ Data Center DLP
, Endpoint DLP
, Unified Threat Management
, Firewall
, Antivirus/ Antimalware
, Intrusion Detection Systems/ Intrusion Prevention Systems
, Network-based
, Host-based
, Wireless
, Disaster Recovery
, Distributed Denial of Service
, Web Filtering
, Others (Other solutions include application whitelisting and patch management) ","Professional Services
, Design and Integration
, Risk and Threat Assessment
, Consulting
, Training and Education
, Support and Maintenance
, Managed Security Services ","Network Security
, Endpoint Security
, Application Security
, Cloud Security
, Others (Other security types include content security, ICS security, database security, and web security) ","On Premises
, Cloud ","SMEs
, Large Enterprises ","BFSI
, Government and Defense
, Energy and Utilities
, Healthcare
, IT and Telecom
, Manufacturing
, Retail
, Others (Other verticals include education, media & entertainment, and transportation & logistics) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
